alpha,lambda20,kappa,score
1.0,1.0,1.0,0.6387087695659958
1.0,0.75,1.0,0.6425380907629101
1.0,0.75,1.2,0.6429138162887374
0.75,1.0,1.2,0.6435007761515947
1.0,1.0,1.2,0.6450041448281778
1.0,0.5,1.2,0.6466202256004507
0.75,0.75,1.2,0.6507116251877749
1.0,0.5,1.0,0.6509932540112451
1.0,1.0,0.8,0.6510548389077978
1.25,0.75,0.8,0.6518535871618257
1.25,0.5,1.0,0.6541791429387009
1.25,1.0,0.8,0.6544910191284891
1.0,0.25,1.2,0.6555093798298272
0.75,1.0,1.0,0.6558500554456993
1.25,0.5,0.8,0.6569437492817752
1.25,0.75,1.0,0.6574714038095467
1.25,0.25,1.0,0.6595110086252987
0.75,0.5,1.2,0.6597438428939467
1.0,0.75,0.8,0.6601600895623418
1.0,0.25,1.0,0.6629782752606886
0.75,0.75,1.0,0.6649743390745032
1.25,0.25,1.2,0.6678792567614082
1.0,0.0,1.2,0.6684980687572034
1.25,0.25,0.8,0.6685793384634688
1.25,0.5,1.2,0.6694067175001381
1.25,1.0,1.0,0.6704428766571783
0.75,0.25,1.2,0.6704630766240138
1.0,0.5,0.8,0.6719052616528383
1.25,0.0,1.0,0.6722191531479866
0.75,0.5,1.0,0.6754395374881007
1.25,0.0,1.2,0.6755537627605794
1.0,0.0,1.0,0.6775958136354996
0.5,1.0,1.2,0.6780265171229329
1.25,0.75,1.2,0.6810356128532962
0.75,0.0,1.2,0.6824934750339123
0.75,1.0,0.8,0.684492516894264
1.25,0.0,0.8,0.684976260951319
0.5,0.75,1.2,0.6853655371836659
1.0,0.25,0.8,0.6857800060052733
0.75,0.25,1.0,0.68694941761577
0.5,0.5,1.2,0.6931914854660135
0.75,0.75,0.8,0.6948828229094638
0.5,1.0,1.0,0.6990613672741773
0.75,0.0,1.0,0.6993944357587746
1.0,0.0,0.8,0.701360751680415
0.5,0.25,1.2,0.7014142943177974
1.25,1.0,1.2,0.7046504581229907
0.75,0.5,0.8,0.7061014116630925
0.5,0.75,1.0,0.7066909584222426
0.5,0.0,1.2,0.7099244790275538
0.5,0.5,1.0,0.7145322487393928
0.75,0.25,0.8,0.7177198336103444
0.5,0.25,1.0,0.7225823158162279
0.25,1.0,1.2,0.7281291082300887
0.75,0.0,0.8,0.7297249938371023
0.5,0.0,1.0,0.7308040054016876
0.25,0.75,1.2,0.7320833576567681
0.5,1.0,0.8,0.7337110837735183
0.25,0.5,1.2,0.7360759275130789
0.25,0.25,1.2,0.7400997777210288
0.5,0.75,0.8,0.7411107560104101
0.25,0.0,1.2,0.7441435123581778
0.5,0.5,0.8,0.7485378950886248
0.25,1.0,1.0,0.7506374783903278
0.25,0.75,1.0,0.754309970498052
0.5,0.25,0.8,0.7559687154966929
0.25,0.5,1.0,0.7580006707765344
0.25,0.25,1.0,0.7616987395548686
0.5,0.0,0.8,0.7633833388915114
0.25,0.0,1.0,0.765409799823737
0.0,0.0,1.2,0.7791133592814313
0.0,0.25,1.2,0.7791133592814313
0.0,0.5,1.2,0.7791133592814313
0.0,0.75,1.2,0.7791133592814313
0.0,1.0,1.2,0.7791133592814313
0.25,1.0,0.8,0.7836364415151819
0.25,0.75,0.8,0.7868818204457648
0.25,0.5,0.8,0.7901014673591268
0.25,0.25,0.8,0.7932987797267183
0.25,0.0,0.8,0.7964752963195609
0.0,0.0,1.0,0.7983766635651747
0.0,0.25,1.0,0.7983766635651747
0.0,0.5,1.0,0.7983766635651747
0.0,0.75,1.0,0.7983766635651747
0.0,1.0,1.0,0.7983766635651747
0.0,0.0,0.8,0.8261891885501322
0.0,0.25,0.8,0.8261891885501322
0.0,0.5,0.8,0.8261891885501322
0.0,0.75,0.8,0.8261891885501322
0.0,1.0,0.8,0.8261891885501322
