alpha,lambda20,kappa,score
0.25,0.0,0.8,0.8462086638193481
0.25,0.25,0.8,0.8464101549548704
0.25,0.5,0.8,0.8467820112241872
0.25,0.75,0.8,0.847291999434883
0.0,0.0,0.8,0.8474048690151131
0.0,0.25,0.8,0.8474048690151131
0.0,0.5,0.8,0.8474048690151131
0.0,0.75,0.8,0.8474048690151131
0.0,1.0,0.8,0.8474048690151131
0.25,1.0,0.8,0.8479364822612162
0.5,0.0,0.8,0.849564207805819
0.5,0.25,0.8,0.8497602129689975
0.5,0.5,0.8,0.8506054854173545
0.5,0.75,0.8,0.8520729527853993
0.5,1.0,0.8,0.8541530225248409
0.0,0.0,1.0,0.8567095982080505
0.0,0.25,1.0,0.8567095982080505
0.0,0.5,1.0,0.8567095982080505
0.0,0.75,1.0,0.8567095982080505
0.0,1.0,1.0,0.8567095982080505
0.75,0.25,0.8,0.8578884172522703
0.75,0.0,0.8,0.857893252227449
0.75,0.5,0.8,0.8593958318553946
0.25,0.25,1.0,0.8608666950527849
0.25,0.5,1.0,0.8608718138933275
0.25,0.0,1.0,0.8610430537183853
0.25,0.75,1.0,0.8610700403236236
0.25,1.0,1.0,0.8614790135697127
0.75,0.75,0.8,0.8623221803368223
0.75,1.0,0.8,0.8667831727816813
0.5,0.25,1.0,0.8702302295002926
0.5,0.5,1.0,0.8704894709202861
0.5,0.0,1.0,0.8707748431058374
1.0,0.25,0.8,0.8712594633698479
0.5,0.75,1.0,0.8715238887700972
1.0,0.0,0.8,0.8718472267236432
0.5,1.0,1.0,0.8732824980205405
1.0,0.5,0.8,0.8736649307368827
1.0,0.75,0.8,0.8789394751782043
0.75,0.25,1.0,0.885164681966614
0.75,0.5,1.0,0.8859049044394891
0.75,0.0,1.0,0.8863863838285623
1.0,1.0,0.8,0.886909848801481
0.75,0.75,1.0,0.8884914729338641
0.0,0.0,1.2,0.8891356034665032
0.0,0.25,1.2,0.8891356034665032
0.0,0.5,1.2,0.8891356034665032
0.0,0.75,1.2,0.8891356034665032
0.0,1.0,1.2,0.8891356034665032
1.25,0.25,0.8,0.8910997617229595
1.25,0.0,0.8,0.8926366672195738
0.75,1.0,1.0,0.8928500467858175
1.25,0.5,0.8,0.894592723837742
0.25,0.75,1.2,0.898023787353702
0.25,0.5,1.2,0.8980353376215809
0.25,1.0,1.2,0.8982112357792307
0.25,0.25,1.2,0.8982665815740611
0.25,0.0,1.2,0.8987190134495745
1.25,0.75,0.8,0.9030075402615886
1.0,0.25,1.0,0.9067725137143459
1.0,0.5,1.0,0.9082585318575064
1.0,0.0,1.0,0.9090461466606382
0.5,0.5,1.2,0.9130557399201352
1.0,0.75,1.0,0.9132992966532926
0.5,0.25,1.2,0.9132997022748945
0.5,0.75,1.2,0.9137153899109648
0.5,0.0,1.2,0.9144569604606005
0.5,1.0,1.2,0.9152879814883924
1.25,1.0,0.8,0.9158828908353789
1.0,1.0,1.0,0.9217765893460205
0.75,0.25,1.2,0.9349926151475585
0.75,0.5,1.2,0.9350665672782804
1.25,0.25,1.0,0.9361477142061736
0.75,0.0,1.2,0.9371757293927665
0.75,0.75,1.2,0.9373325067211518
1.25,0.5,1.0,0.9388632732371123
1.25,0.0,1.0,0.9398282824891154
0.75,1.0,1.2,0.9417758094806703
1.25,0.75,1.0,0.947586830517398
1.25,1.0,1.0,0.9620323289400002
1.0,0.25,1.2,0.9646772541708862
1.0,0.5,1.2,0.9654745493545602
1.0,0.0,1.2,0.9682429813174402
1.0,0.75,1.2,0.9704312568265013
1.0,1.0,1.2,0.9794739805525629
1.25,0.25,1.2,1.0037191715245473
1.25,0.5,1.2,1.0057712374401264
1.25,0.0,1.2,1.00904102259494
1.25,0.75,1.2,1.014795771087458
1.25,1.0,1.2,1.0305328526970512
