sector,rows,origin_days,mean_delta_pct
Utilities,44445,1579,0.01209807777748241
Real Estate,43551,1579,0.011349982455672215
Materials,36401,1579,0.009580261639702142
Financials,108761,1579,0.009555965499917522
Health Care,86380,1579,0.009361829991119291
Consumer Staples,47152,1579,0.008795110966993069
Industrials,114894,1579,0.007491137869921756
Information Technology,107012,1579,0.005242227766681783
Energy,30027,1579,0.0050550752121655985
Consumer Discretionary,69989,1579,0.0006617670798044951
Communication Services,34961,1579,-0.0009438191584658277
